@relation segment

@attribute original numeric
@attribute Sobel_filter_0.0 numeric
@attribute Hessian_0.0 numeric
@attribute Hessian_Trace_0.0 numeric
@attribute Hessian_Determinant_0.0 numeric
@attribute Hessian_Eigenvalue_1_0.0 numeric
@attribute Hessian_Eigenvalue_2_0.0 numeric
@attribute Hessian_Orientation_0.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_0.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Hessian_1.0 numeric
@attribute Hessian_Trace_1.0 numeric
@attribute Hessian_Determinant_1.0 numeric
@attribute Hessian_Eigenvalue_1_1.0 numeric
@attribute Hessian_Eigenvalue_2_1.0 numeric
@attribute Hessian_Orientation_1.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_1.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Hessian_2.0 numeric
@attribute Hessian_Trace_2.0 numeric
@attribute Hessian_Determinant_2.0 numeric
@attribute Hessian_Eigenvalue_1_2.0 numeric
@attribute Hessian_Eigenvalue_2_2.0 numeric
@attribute Hessian_Orientation_2.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_2.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_2.0 numeric
@attribute Difference_of_gaussians_2.0_1.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Hessian_4.0 numeric
@attribute Hessian_Trace_4.0 numeric
@attribute Hessian_Determinant_4.0 numeric
@attribute Hessian_Eigenvalue_1_4.0 numeric
@attribute Hessian_Eigenvalue_2_4.0 numeric
@attribute Hessian_Orientation_4.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_4.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_4.0 numeric
@attribute Difference_of_gaussians_4.0_1.0 numeric
@attribute Difference_of_gaussians_4.0_2.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Sobel_filter_8.0 numeric
@attribute Hessian_8.0 numeric
@attribute Hessian_Trace_8.0 numeric
@attribute Hessian_Determinant_8.0 numeric
@attribute Hessian_Eigenvalue_1_8.0 numeric
@attribute Hessian_Eigenvalue_2_8.0 numeric
@attribute Hessian_Orientation_8.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_8.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_8.0 numeric
@attribute Difference_of_gaussians_8.0_1.0 numeric
@attribute Difference_of_gaussians_8.0_2.0 numeric
@attribute Difference_of_gaussians_8.0_4.0 numeric
@attribute Gaussian_blur_16.0 numeric
@attribute Sobel_filter_16.0 numeric
@attribute Hessian_16.0 numeric
@attribute Hessian_Trace_16.0 numeric
@attribute Hessian_Determinant_16.0 numeric
@attribute Hessian_Eigenvalue_1_16.0 numeric
@attribute Hessian_Eigenvalue_2_16.0 numeric
@attribute Hessian_Orientation_16.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_16.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_16.0 numeric
@attribute Difference_of_gaussians_16.0_1.0 numeric
@attribute Difference_of_gaussians_16.0_2.0 numeric
@attribute Difference_of_gaussians_16.0_4.0 numeric
@attribute Difference_of_gaussians_16.0_8.0 numeric
@attribute Membrane_projections_0_19_1 numeric
@attribute Membrane_projections_1_19_1 numeric
@attribute Membrane_projections_2_19_1 numeric
@attribute Membrane_projections_3_19_1 numeric
@attribute Membrane_projections_4_19_1 numeric
@attribute Membrane_projections_5_19_1 numeric
@attribute class {border,not-border}

@data
0.79567,0.250712,2.689977,-2.007365,-1.812885,1.371297,-3.378662,-1.372874,45.457191,11.281054,0.792966,0.253579,2.639204,-1.922107,-1.842054,1.39083,-3.312937,-1.372364,40.871124,11.062712,0.77882,0.258303,2.359261,-1.466608,-1.902632,1.475934,-2.942543,-1.36514,20.996332,9.761469,0.014146,0.756771,0.223923,1.791289,-0.794791,-1.450836,1.396349,-2.19114,-1.337848,4.06497,6.435039,0.036195,0.022049,0.72274,0.113022,0.808209,-0.437534,-0.282689,0.594311,-1.031845,-1.273682,0.253115,1.322192,0.070227,0.05608,0.034032,0.614078,0.035235,0.311456,-0.414257,0.03406,-0.074146,-0.34011,-0.514036,0.00607,0.035368,0.178889,0.164742,0.142694,0.108662,0.708191,0.857095,0.546509,7.081912,0.112125,0.715922,border
0.823861,0.32356,2.344403,-1.990269,-0.985868,0.99291,-2.983179,-1.326105,31.311634,7.904641,0.821854,0.328761,2.310769,-1.932649,-1.012767,1.006769,-2.939419,-1.328941,29.082502,7.786201,0.808313,0.350301,2.108247,-1.574775,-1.153432,1.095914,-2.670689,-1.343445,17.591663,7.093648,0.013541,0.784986,0.325231,1.605859,-1.028758,-0.875612,0.995719,-2.024477,-1.337471,4.826883,4.560792,0.036868,0.023327,0.736138,0.153549,0.73227,-0.656309,-0.089257,0.299448,-0.955757,-1.243411,0.339325,0.78777,0.085716,0.072175,0.048848,0.607997,0.069338,0.318711,-0.42344,0.036179,-0.080221,-0.343219,-0.453613,0.006201,0.034584,0.213857,0.200316,0.176989,0.128142,0.709315,0.827417,0.568088,7.093153,0.087206,0.717048,border
0.854067,0.413212,1.946212,-1.309109,-1.122221,1.106504,-2.415613,-1.401818,10.629902,6.202653,0.851774,0.416322,1.929632,-1.336555,-1.055175,1.064795,-2.40135,-1.397522,10.730918,6.007079,0.841422,0.429081,1.806198,-1.455538,-0.657257,0.812948,-2.268487,-1.376278,10.058271,4.747622,0.010352,0.820159,0.383893,1.40679,-1.359892,-0.120534,0.39974,-1.759632,-1.344659,4.31155,2.331443,0.031614,0.021263,0.750163,0.166639,0.743237,-0.948351,0.153885,-0.09746,-0.850892,-1.151831,0.255268,0.28383,0.101611,0.091259,0.069997,0.597703,0.104882,0.325816,-0.431645,0.0381,-0.085596,-0.346049,-0.376306,0.006319,0.033918,0.254071,0.243719,0.222457,0.15246,0.708987,0.785666,0.601952,7.089865,0.056528,0.727194,border
0.861074,0.350788,1.832115,-1.540424,-0.73919,0.862219,-2.402643,-1.243213,12.64679,5.329664,0.86255,0.357411,1.836484,-1.5707,-0.694247,0.833922,-2.404622,-1.244706,12.937673,5.244085,0.865057,0.384924,1.810833,-1.692586,-0.402158,0.649281,-2.341867,-1.254917,12.815845,4.473482,-0.002508,0.841115,0.347449,1.465153,-1.550898,0.034809,0.288987,-1.839885,-1.262913,5.450487,2.266047,0.021434,0.023942,0.762281,0.13263,0.796875,-1.037958,0.195309,-0.134193,-0.903765,-1.075901,0.319027,0.29612,0.100269,0.102776,0.078834,0.600546,0.092459,0.337461,-0.444798,0.039612,-0.082045,-0.362753,-0.383412,0.007795,0.039399,0.262004,0.264512,0.24057,0.161736,0.72219,0.805223,0.611994,7.221904,0.060253,0.733445,border
0.922403,0.444577,1.586384,-2.126392,0.913202,-0.40413,-1.722263,-1.003169,3.928035,0.868737,0.92315,0.439089,1.602562,-2.152442,0.940901,-0.416902,-1.735541,-0.989811,4.027956,0.869404,0.920331,0.408477,1.664885,-2.255969,1.061762,-0.479005,-1.776965,-0.927492,4.287053,0.84235,0.002819,0.886936,0.325167,1.530948,-2.102304,0.972567,-0.536655,-1.565649,-0.840613,2.339842,0.529414,0.036214,0.033395,0.779173,0.075079,1.010226,-1.384707,0.429912,-0.377897,-1.00681,-0.523029,0.379198,0.197765,0.143978,0.141158,0.107764,0.588265,0.121667,0.353208,-0.458103,0.040509,-0.074421,-0.383683,-0.312106,0.010036,0.047821,0.334885,0.332066,0.298671,0.190907,0.72862,0.781396,0.680536,7.286204,0.042271,0.731826,border
0.978601,0.240374,2.264641,-2.862792,1.532896,-0.415524,-2.447267,0.023945,16.915586,2.06399,0.976248,0.237596,2.244217,-2.872265,1.606689,-0.481369,-2.390896,0.003061,15.040787,1.823147,0.962474,0.219047,2.176917,-2.920653,1.886063,-0.758201,-2.162452,-0.141119,8.410453,0.985961,0.013774,0.918786,0.145732,2.039294,-2.752167,1.685585,-0.73107,-2.021097,-0.240525,6.302569,0.832085,0.057462,0.043688,0.781972,0.052375,1.262203,-1.673859,0.595644,-0.379093,-1.294767,-0.209588,1.174599,0.41923,0.194276,0.180502,0.136814,0.570531,0.162427,0.353922,-0.457396,0.040581,-0.075585,-0.381811,-0.254736,0.009809,0.046887,0.405717,0.391943,0.348255,0.211442,0.721954,0.821855,0.651538,7.219543,0.054074,0.71809,border
0.950132,0.424139,2.560081,-3.258082,1.781727,-0.308399,-2.949684,-0.428143,37.027527,3.488194,0.948185,0.420484,2.525496,-3.194879,1.681449,-0.278073,-2.916806,-0.410547,35.536114,3.481457,0.933751,0.394023,2.330929,-2.827564,1.122036,-0.089589,-2.737975,-0.323048,28.038652,3.506972,0.014434,0.891463,0.295869,2.035284,-2.366562,0.651175,0.04063,-2.407192,-0.236869,16.77899,2.995918,0.056722,0.042288,0.770913,0.094107,1.279155,-1.536103,0.34227,-0.0643,-1.471804,-0.203588,2.337277,0.990534,0.177273,0.162838,0.120551,0.569036,0.14879,0.365345,-0.45081,0.032881,-0.036057,-0.414753,-0.245669,0.014573,0.071705,0.37915,0.364715,0.322428,0.201877,0.720698,0.852355,0.607907,7.206976,0.084725,0.719551,border
0.979718,0.156488,3.13472,-3.846435,2.309835,-0.256526,-3.589909,-0.2625,82.19722,5.555719,0.976127,0.155904,3.114404,-3.788389,2.159675,-0.204048,-3.584341,-0.251965,81.995094,5.713192,0.955919,0.153579,3.007388,-3.477085,1.399452,0.063167,-3.540252,-0.200301,78.492889,6.492315,0.020208,0.904241,0.150636,2.659754,-2.975736,0.828203,0.176793,-3.152529,-0.1521,49.076134,5.542191,0.071886,0.051679,0.760212,0.191219,1.470053,-1.720939,0.386708,-0.019399,-1.70154,-0.140387,4.190116,1.414799,0.215915,0.195707,0.144028,0.54789,0.190903,0.357028,-0.440698,0.0319,-0.037848,-0.40285,-0.21703,0.012937,0.066613,0.428237,0.408029,0.356351,0.212322,0.704579,0.879934,0.578257,7.045792,0.102135,0.692774,border
0.953585,0.429729,3.721888,-4.211442,1.894854,0.147813,-4.359255,-0.096852,180.144012,10.15683,0.950713,0.427528,3.69216,-4.160629,1.790431,0.172363,-4.332992,-0.098873,175.689606,10.149112,0.931258,0.424968,3.51506,-3.863212,1.22829,0.305719,-4.168931,-0.106662,149.411957,10.011249,0.019454,0.874673,0.434954,2.938541,-3.199631,0.762863,0.29573,-3.495361,-0.104189,73.569588,7.186187,0.07604,0.056586,0.726245,0.36821,1.473153,-1.700336,0.35203,0.010943,-1.71128,-0.107591,4.287642,1.483026,0.224468,0.205013,0.148427,0.521391,0.231877,0.332218,-0.411998,0.02869,-0.040194,-0.371804,-0.195356,0.009333,0.054983,0.429322,0.409868,0.353282,0.204855,0.672006,0.856623,0.547086,6.720063,0.106895,0.655309,border
0.858734,0.901873,3.79682,-3.949318,0.57676,0.603138,-4.552456,-0.045762,207.286819,13.290073,0.858435,0.898083,3.758655,-3.925246,0.625193,0.57773,-4.502975,-0.048031,198.861984,12.906783,0.849081,0.874666,3.465871,-3.671294,0.713083,0.469355,-4.140649,-0.061485,143.222382,10.626067,0.009355,0.797337,0.794361,2.646888,-2.845167,0.526245,0.308022,-3.153189,-0.078347,48.488834,5.989993,0.061098,0.051744,0.668751,0.540682,1.265265,-1.45772,0.257325,0.011292,-1.469012,-0.093182,2.328199,1.095649,0.189684,0.180329,0.128586,0.489898,0.269117,0.290665,-0.364556,0.023597,-0.043512,-0.321045,-0.182017,0.005118,0.038512,0.368537,0.359183,0.307439,0.178853,0.622108,0.777943,0.517519,6.221085,0.092695,0.595791,border
